,OriginalPrice,SalePrice,Discount,Ratings,Comments,Media,Brand,QtySold,Favourites,link,SubCat1,SubCat2,SubCat3,Content,LogQtySold,NORPercent
1207,9.5,9.5,0,5.0,0,0,SCOTT'S,9,3,https://shopee.sg/Scotts-Vit-C-Mango-50'S-i.195238920.5918637423?sp_atk=f92788f5-256c-4fec-9d15-4aaed906dcfb,"Toys, Kids & Babies",Feeding & Nursing,Kids and Baby Supplements,296.0,2.1972245773362196,0.1111111111111111
1208,6.5,6.5,0,5.0,0,0,MegRhythm,9,0,https://shopee.sg/MEGRHYTHM-Steam-Eye-Mask-Rose-Fragrance-i.195238920.4279831351?sp_atk=8213dad4-de92-4beb-b809-0fd42c1880bf,Beauty & Personal Care,Skincare,Eye Care,580.0,2.1972245773362196,0.2222222222222222
1209,8.9,8.9,0,5.0,0,0,Pigeon,15,3,https://shopee.sg/PIGEON-Medicated-Baby-Powder-Canned-150g-i.195238920.3021563299?sp_atk=23bc94e2-d62a-434e-9da9-89e667cff425,"Toys, Kids & Babies",Bath & Baby Care,Baby Skincare,344.0,2.70805020110221,0.06666666666666667
1210,59.0,53.1,10,5.0,1,1,BLACKMORES,11,1,https://shopee.sg/BLACKMORES-Cholesterol-Health-60-Capsules-i.195238920.10201498632?sp_atk=d3f938c3-3c63-4b4d-82ee-fc28cce88682,Health & Wellness,Food Nutrition,Others,296.0,2.3978952727983707,0.09090909090909091
1211,19.9,19.9,0,5.0,1,1,L'OREAL PARIS,3,0,https://shopee.sg/L'OREAL-PARIS-MAKEUP-Brow-Artist-Xpert-106-Ash-Brunette-1s-i.195238920.9949385490?sp_atk=957f8366-edad-4745-99c9-590046f0fe68,Beauty & Personal Care,Makeup,Eye,663.0,1.0986122886681098,0.3333333333333333
1212,2.5,2.5,0,5.0,0,0,Garnier,6,1,https://shopee.sg/GARNIER-Hydrabomb-Pomegranate-Super-Hydrating-Replumping-Serum-Mask-1-Piece-i.195238920.9117227414?sp_atk=6fa6dbce-b579-4272-9acd-c0e1a5a2d1d4,Beauty & Personal Care,Skincare,Mask,1322.0,1.791759469228055,0.3333333333333333
1213,8.9,8.9,0,5.0,0,0,Herbal Essences,8,0,https://shopee.sg/Herbal-Essences-Honey-I'M-Strong-Shampoo-300Ml-i.195238920.8151052263?sp_atk=5651b4a7-339b-42ff-8d4c-5fbe2a189d0c,Beauty & Personal Care,Women's Hair Care,Shampoo,558.0,2.0794415416798357,0.125
1214,7.0,7.0,0,5.0,0,0,Vapex,4,0,https://shopee.sg/Panadol-Cold-Flu-Hot-Remedy-5'S-i.195238920.7009140524?sp_atk=ab7e2398-b338-492c-b796-c0b3e9db6b25,Health & Wellness,OTC Medications,Fever & Painkillers,627.0,1.3862943611198906,0.25
1215,22.9,20.5,10,5.0,1,1,Bioderma,9,2,https://shopee.sg/BIODERMA-ABCDerm-Shampooing-Ultra-Gentle-Shampoo-(Babies-and-Children's-Skin)-200ml-i.195238920.6682385816?sp_atk=69df0d9b-8f30-4ca6-a51a-5e8b62842f8b,"Toys, Kids & Babies",Bath & Baby Care,Hair Care & Body Wash,1476.0,2.1972245773362196,0.1111111111111111
1216,12.9,12.9,0,5.0,1,1,Redoxon,5,3,https://shopee.sg/Redoxon-Triple-Action-Effervescent-Blackcurrant-15s-i.195238920.6279921235?sp_atk=5946b09a-fb1c-4215-87fa-bae2b39ddc28,Health & Wellness,Food Nutrition,Others,293.0,1.6094379124341003,0.2
1217,32.0,31.2,3,5.0,0,0,re-nu,7,2,https://shopee.sg/BAUSCH-LOMB-Biotrue%C3%82%C2%AE-Multi-Purpose-Solution-300ml-Twin-Pack-i.195238920.10701472684?sp_atk=a211d040-d0d6-44d3-a1ef-88f7eea10fbd,Beauty & Personal Care,Skincare,Eye Care,1230.0,1.9459101490553132,0.2857142857142857
1218,18.9,18.9,0,5.0,1,1,Pout Care,9,0,https://shopee.sg/POUT-CARE-Blueberry-Potion-Natural-Shampoo-250ml-i.195238920.9328528461?sp_atk=f85abdb7-9423-450d-96b0-89e73247c52d,"Toys, Kids & Babies",Bath & Baby Care,Hair Care & Body Wash,1619.0,2.1972245773362196,0.1111111111111111
1219,18.9,18.9,0,5.0,0,0,Diane,16,1,https://shopee.sg/MOIST-DIANE-Botanical-Moist-Treatment-480ml-i.195238920.8449387007?sp_atk=73883a53-4b4f-4a6d-9cbd-6fbb3f91e949,Beauty & Personal Care,Women's Hair Care,Treatment,1850.0,2.772588722239781,0.0625
1220,14.9,13.3,11,5.0,2,2,BANANA BOAT,5,1,https://shopee.sg/Banana-Boat-Ultra-Protect-Sunscreen-Lotion-Spf50-Pa-90Ml-i.195238920.3479882137?sp_atk=7d670c77-04e6-49d5-932b-344bb2d65bea,Beauty & Personal Care,Skincare,Sun Care,1476.0,1.6094379124341003,0.4
1221,8.5,8.5,0,5.0,1,0,TIGER BALM,11,0,https://shopee.sg/Tiger-Balm-Mosquito-Repellent-Patch-10's-i.195238920.3278457724?sp_atk=cb3066de-234a-4c4b-a049-c5cc1953e5a2,Home & Living,Housekeeping,Pesticide,155.0,2.3978952727983707,0.09090909090909091
1222,32.9,29.5,10,5.0,0,0,ANESSA,6,2,https://shopee.sg/Anessa-Perfect-Uv-Sunscreen-Skincare-Spray-60G-i.195238920.9817021230?sp_atk=cb16e0ce-9c18-4ddf-baec-0081fe2c600d,Beauty & Personal Care,Skincare,Sun Care,2212.0,1.791759469228055,0.16666666666666666
1223,54.0,48.6,10,5.0,0,0,BLACKMORES,5,3,https://shopee.sg/BLACKMORES-Omega-High-Dha-(Maintain-Brain-Health-and-Mental-Function)-60s-i.195238920.9550923645?sp_atk=c67df976-cbf8-4b25-a1c1-741fe9b285b7,Health & Wellness,Food Nutrition,Others,250.0,1.6094379124341003,0.2
1224,15.0,15.0,0,5.0,0,0,Neilmed,13,3,https://shopee.sg/Neilmed-Saline-On-The-Go-(Soothes-and-Moisturizes-Infants%E2%80%99-Dry-or-Congested-Noses)-15ml-i.195238920.9017692435?sp_atk=e237b1cd-95d2-48c3-b65a-da1fb0572d6b,"Toys, Kids & Babies",Bath & Baby Care,Nasal Care,465.0,2.5649493574615367,0.07692307692307693
1225,8.9,8.9,0,5.0,0,0,Herbal Essences,18,1,https://shopee.sg/Herbal-Essences-Herbal-Essences-Long-Term-Relationship-Shampoo-300Ml-i.195238920.8651051995?sp_atk=5e32c8ab-2e27-4f69-bf0c-06a4d376b34e,Beauty & Personal Care,Women's Hair Care,Shampoo,631.0,2.8903717578961645,0.05555555555555555
1226,16.9,16.9,0,4.5,1,0,Avalon Organics,6,1,https://shopee.sg/AVALON-ORGANICS-Rosemary-Volumizing-Conditioner-312g-i.195238920.8550950927?sp_atk=2fddcee8-0d68-462e-8b8c-090e0c092980,Beauty & Personal Care,Women's Hair Care,Conditioner,560.0,1.791759469228055,0.3333333333333333
1227,22.9,20.5,10,5.0,1,0,Kose Cosmeport,3,1,https://shopee.sg/Kose-Cosmeport-Je-Laime-Amino-Deep-Repair-Algae-Hair-Mask-200G-i.195238920.8051042334?sp_atk=a0642b19-9a34-43d9-902e-c55fbbf4ab2a,Beauty & Personal Care,Women's Hair Care,Treatment,308.0,1.0986122886681098,0.3333333333333333
1228,49.0,44.1,10,5.0,0,0,Swisse,6,0,https://shopee.sg/Swisse-Ultiboost-Liver-Detox-60-Tablets-i.195238920.7878467832?sp_atk=6d097e4a-0ffa-40ae-aa7e-7d20d5a55c4c,Health & Wellness,Supplements,Digestion & Liver,1644.0,1.791759469228055,0.16666666666666666
1229,14.5,14.5,0,5.0,0,0,Herpatch,4,7,https://shopee.sg/Herpatch-Cold-Sore-Serum-5ml-i.195238920.7609729191?sp_atk=8543aba3-fd63-43ea-9049-29a7c7e05d08,Health & Wellness,OTC Medications,Others,1113.0,1.3862943611198906,0.25
1230,4.3,4.3,0,5.0,0,0,Axe Brand,7,0,https://shopee.sg/AXE-Universal-Oil-28ml-i.195238920.5578312075?sp_atk=537a5756-722c-444f-b313-1124d23629a6,Health & Wellness,OTC Medications,Others,579.0,1.9459101490553132,0.14285714285714285
1231,6.9,6.9,0,5.0,0,0,GATSBY,18,2,https://shopee.sg/Gatsby-Facial-Paper-S-Refresh-42-Sheets-i.195238920.4821349931?sp_atk=d3c2a360-a02d-4c67-b7ee-b6496a28aa12,Beauty & Personal Care,Skincare,Blotting Paper,230.0,2.8903717578961645,0.1111111111111111
